word	N::finn
slime	-4
widowed	-1
seduced	-1
favored	2
idiot	-3
pleasant	3
wonderful	4
frustration	-2
legally	1
sentencing	-2
commitment	2
cowardly	-2
convinced	1
mocked	-2
endorse	2
powerful	2
commend	2
threaten	-2
oppressive	-2
committed	1
disorganized	-2
fakes	-3
convinces	1
absolve	2
delay	-1
weird	-2
agonising	-3
warfare	-2
numb	-1
regretful	-2
cocksucker	-5
appreciating	2
upsets	-2
carefree	1
detained	-2
aggravates	-2
inspires	2
banish	-1
solve	1
inspiring	3
respected	2
screamed	-2
unbelievable	-1
exhilarating	3
hypocritical	-2
monopolized	-2
adopts	1
null	-4
inspired	2
envies	-1
disquiet	-2
niggas	3
thankful	2
appreciation	2
immune	1
enjoying	2
distorted	-2
vague	-2
true	2
catastrophe	-3
boosted	1
mourning	-2
monopolizes	-2
idiotic	-3
masterpiece	4
banned	-2
struggling	-2
aggravated	-2
bitch	-5
godsend	4
accomplishes	2
insipid	-2
terror	-3
uptight	-2
seditious	-2
fraud	-4
dolorous	-2
fatigue	-2
love	3
warns	-2
fucking	-4
undesirable	-2
fulfilled	2
accomplished	2
revered	2
accusing	-2
lethargy	-2
relaxed	2
perfectly	3
noble	2
prblm	-2
collapses	-2
applauding	2
chastising	-3
loves	3
scornful	-2
fraudulence	-4
scream	-2
disturbs	-2
derailed	-2
positively	2
daredevil	2
collapsed	-2
stout	2
fascists	-2
miserable	-3
roflcopter	4
enjoys	2
vociferous	-1
fed up	-3
thoughtful	2
apologized	-1
lost	-3
loss	-3
catastrophic	-4
fitness	1
scandalous	-3
oxymoron	-1
touts	-2
cherishing	2
beauty	3
improve	2
apologizes	-1
infuriating	-2
sceptical	-2
disappointment	-1
unapproved	-2
expelled	-2
resolved	2
mope	-1
crazy	-2
inability	-2
embittered	-2
exultantly	3
illness	-2
diamond	1
suspect	-1
overlooked	-1
discontented	-2
frustrate	-2
celebrate	3
fright	-2
gullible	-2
ill	-2
expel	-2
extend	1
destructive	-3
jaunty	2
loved	3
nigger	-5
harms	-2
felony	-3
pissing	-3
opportunity	2
hurt	-2
fatality	-3
hostile	-2
suspected	-1
frustrating	-2
smart	1
kudos	3
adventurous	2
intelligent	2
doo	-1
greater	3
justified	2
withdrawal	-3
thrilled	5
lovelies	3
mischiefs	-1
winner	4
disappeared	-1
does not work	-3
lags	-2
unconvinced	-1
strange	-1
flops	-2
haters	-3
humor	2
bias	-1
gagged	-2
suicide	-2
pardoning	2
outraged	-3
contend	-1
stopping	-1
downcast	-2
disaster	-2
grace	1
appease	2
abhorrent	-3
lobbying	-2
disparage	-2
expels	-2
conflict	-2
brilliant	4
overstatements	-2
abandoned	-2
zealous	2
alarmist	-2
harm	-2
killed	-3
laughting	1
enslaves	-2
vindicated	2
sentence	-2
havoc	-2
irritate	-3
humourous	2
fuckface	-4
moron	-3
easy	1
complained	-2
disregarded	-2
downside	-2
denying	-2
kills	-3
blamed	-2
hard	-1
ability	2
axe	-1
harshest	-2
entitled	1
attractions	2
nuts	-3
blames	-2
imposed	-1
zealots	-2
hobo	-1
slick	2
careless	-2
nigga	3
upsetting	-2
enslaved	-2
imposes	-1
keen	1
vindicates	2
overstatement	-2
impressive	3
robber	-2
cornered	-2
cancer	-1
slam	-2
roflmao	4
wrathful	-3
conspiracy	-3
unconcerned	-2
hug	2
affronted	-1
acquits	2
attacked	-1
cancel	-1
haunts	-1
fucktard	-4
harsh	-2
contemptuous	-2
drained	-2
hoax	-2
brainwashing	-3
expand	1
perfected	2
welcome	2
collapse	-2
traumatic	-3
censors	-2
jackass	-4
adorably	1
helpful	2
unbelieving	-1
joyfully	3
thwarts	-2
survived	2
adorable	1
peacefully	2
not good	-2
natural	1
dud	-2
festive	2
fucked	-4
rigged	-1
agonizing	-3
expelling	-2
bamboozles	-2
unstoppable	2
optimistic	2
assaulted	-1
destroy	-3
brooding	-2
reach	1
unresearched	-2
hoping	2
tolerant	2
deny	-2
apathetic	-3
winwin	3
blessing	3
bamboozled	-2
sulking	-2
top	2
conflicts	-2
racist	-3
sincere	2
disconsolate	-2
poisons	-2
lame	-2
avoided	-1
protects	1
fucker	-4
joyful	3
dilemma	-1
mature	2
praise	3
certain	1
racism	-3
success	2
explorations	1
screams	-2
risks	-2
excuse	-1
imposing	-1
rescue	2
rapturous	4
excite	3
energetic	2
sarcastic	-2
usefulness	2
frightening	-3
burden	-2
walkouts	-2
retard	-2
shaky	-2
refused	-2
problems	-2
exclusion	-1
alert	-1
awkward	-2
rewards	2
damn	-4
abhor	-3
bargain	2
ambitious	2
aggravating	-2
impatient	-2
redeemed	2
interrogated	-2
tired	-2
disgusting	-3
boost	1
lmfao	4
shit	-4
uselessness	-2
shame	-2
hesitate	-2
frikin	-2
stingy	-2
neglect	-2
pain	-2
impotent	-2
infuriates	-2
infringement	-2
stricken	-2
offline	-1
delight	3
kind	2
disputes	-2
wasted	-2
engage	1
agonize	-3
outrage	-3
disputed	-2
surviving	2
failures	-2
mock	-2
resigns	-1
chastise	-3
contestable	-2
yeees	2
sulky	-2
oversimplify	-2
moaning	-2
doomed	-2
deceitful	-3
pimped	-2
motherfucker	-5
spirit	1
mourned	-2
attack	-1
slicker	2
amaze	2
heavyhearted	-2
hate	-3
arrests	-2
remorse	-2
snubbed	-2
derails	-2
kill	-3
haunted	-2
alive	1
fool	-2
dismal	-2
dreadful	-3
dedicated	2
combat	-1
punishes	-2
parley	-1
contender	-1
irreversible	-1
nervous	-2
faithful	3
dithering	-2
misreporting	-2
lack	-2
moan	-2
unmotivated	-2
await	-1
importance	2
pathetic	-2
infuriated	-2
faggot	-3
somber	-2
prepared	1
inconvenience	-2
revenge	-2
favors	2
reject	-1
lawsuits	-2
ass	-4
misinterpreted	-2
astoundingly	3
dishonest	-2
fond	2
share	1
protected	1
accidents	-2
esteemed	2
fresh	1
hapless	-2
die	-3
alarmists	-2
scapegoat	-2
reliant	2
lagged	-2
enemy	-2
steadfast	2
exempt	-1
error	-2
urgent	-1
punished	-2
terrified	-3
denounce	-2
stressed	-2
marvels	3
revoked	-1
shock	-2
consents	2
decisive	1
menace	-2
poorer	-2
oversells	-2
guarantee	1
negative	-2
disappear	-1
blurry	-2
